ACR_GROUPID,ICDCODE,DESCRIPTION,EFF_DATE,ACTIVE
CR0003,A05.2,FOODBORNE CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII] INTOXICATION. ENTERITIS NECROTICANS. PIG-BEL,1/1/2014,T
CR0003,A05.0,FOODBORNE STAPHYLOCOCCAL INTOXICATION,1/1/2014,T
CR0003,A04.9,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED. BACTERIAL ENTERITIS NOS",1/1/2014,T
CR0003,A04.8,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,1/1/2014,T
CR0003,A04.6,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,1/1/2014,T
CR0003,A05.8,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,1/1/2014,T
CR0003,A08.4,"VIRAL INTESTINAL INFECTION, UNSPECIFIED; VIRAL ENTERITIS NOS;  VIRAL GASTROENTERITIS NOS; VIRAL GASTROENTEROPATHY NOS",1/1/2014,T
CR0003,A04.7,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE; FOODBORNE INTOXICATION BY CLOSTRIDIUM DIFFICILE; PSEUDOMEMBRANOUS COLITIS,1/1/2014,T
CR0003,A05.9,"BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED",1/1/2014,T
CR0003,A07.0,BALANTIDIASIS; BALANTIDIAL DYSENTERY,1/1/2014,T
CR0003,A07.2,CRYPTOSPORIDIOSIS,1/1/2014,T
CR0003,A07.3,ISOSPORIASIS; INFECTION DUE TO ISOSPORA BELLI AND ISOSPORA HOMINIS; INTESTINAL COCCIDIOSIS; ISOSPOROSIS,1/1/2014,T
CR0003,A07.8,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES; INTESTINAL TRICHOMONIASIS; SARCOCYSTOSIS; SARCOSPORIDIOSIS,1/1/2014,T
CR0003,A07.9,"PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED;FLAGELLATE DIARRHOEA; PROTOZOAL COLITIS;  PROTOZOAL DIARRHOEA; PROTOZOAL DYSENTERY",1/1/2014,T
CR0003,A04.4,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,1/1/2014,T
CR0003,A08.3,OTHER VIRAL ENTERITIS,1/1/2014,T
CR0003,A08.0,ROTAVIRAL ENTERITIS,1/1/2014,T
CR0003,A08.5,OTHER SPECIFIED INTESTINAL INFECTIONS,1/1/2014,T
CR0003,A08.1,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT; SMALL ROUND STRUCTURED VIRUS ENTERITIS,1/1/2014,T
CR0003,A03.0,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE; GROUP A SHIGELLOSIS [SHIGA-KRUSE DYSENTERY],1/1/2014,T
CR0003,A08.2,ADENOVIRAL ENTERITIS,1/1/2014,T
CR0003,A04.3,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,1/1/2014,T
CR0003,A00.1,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR",1/1/2014,T
CR0003,A00.9,"CHOLERA, UNSPECIFIED",1/1/2014,T
CR0003,A07.1,GIARDIASIS [LAMBLIASIS],1/1/2014,T
CR0003,A00.0,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE",1/1/2014,T
CR0003,A09.0,INFECTIOUS DIARRHEA,1/1/2014,T
CR0003,A09.9,ACUTE GASTROENTERITIS,1/1/2014,T
CR0003,K52.0,GASTROENTERITIS AND COLITIS DUE TO RADIATION,1/1/2014,T
CR0003,K52.1,TOXIC GASTROENTERITIS AND COLITIS,1/1/2014,T
CR0003,K52.2,ALLERGIC AND DIETETIC GASTROENTERITIS AND COLITIS; FOOD HYPERSENSITIVITY GASTROENTERITIS OR COLITIS,1/1/2014,T
CR0003,K52.9,"NONINFECTIVE GASTROENTERITIS AND COLITIS, UNSPECIFIED; DIARRHOEA SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIONS CAN BE PRESUMED TO BE OF NONINFECTIOUS ORIGIN; ENTERITIS SPECIFIED AS NONINFECTIVE, OR NOS IN COUNTRIES WHERE THE CONDITIO",1/1/2014,T
CR0003,K58.0,IRRITABLE BOWEL SYNDROME WITH DIARRHOEA,1/1/2014,T
CR0003,A03.1,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI;GROUP B SHIGELLOSIS,1/1/2014,T
CR0003,A03.2,SHIGELLOSIS DUE TO SHIGELLA BOYDII; GROUP C SHIGELLOSIS,1/1/2014,T
CR0003,A03.3,SHIGELLOSIS DUE TO SHIGELLA SONNEI; GROUP D SHIGELLOSIS,1/1/2014,T
CR0003,A03.8,OTHER SHIGELLOSIS,1/1/2014,T
CR0003,A04.2,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,1/1/2014,T
CR0003,A03.9,"SHIGELLOSIS, UNSPECIFIED; ; BACILLARY DYSENTERY NOS",1/1/2014,T
CR0003,A04.1,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,1/1/2014,T
CR0003,A04.0,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,1/1/2014,T
CR0003,A05.4,FOODBORNE BACILLUS CEREUS INTOXICATION,1/1/2014,T
CR0004,N17.2,"ACUTE RENAL FAILURE WITH MEDULLARY NECROSIS; MEDULLARY PAPILLARY NECROSIS, NOS; ACUTE MEDULLARY PAPILLARY NECROSIS;  RENAL MEDULLARY PAPILLARY NECROSIS",1/1/2014,T
CR0004,N17.9,"ACUTE RENAL FAILURE, UNSPECIFIED;",1/1/2014,T
CR0004,N17.8,OTHER ACUTE RENAL FAILURE,1/1/2014,T
CR0004,N17.1,ACUTE RENAL FAILURE WITH ACUTE CORTICAL NECROSIS; CORTICAL NECROSIS NOS; ACUTE CORTICAL NECROSIS ; RENAL CORTICAL NECROSIS,1/1/2014,T
CR0004,N17.0,ACUTE RENAL FAILURE WITH TUBULAR NECROSIS; TUBULAR NECROSIS NOS; ACUTE TUBULAR NECROSIS ; RENAL TUBULAR NECROSIS,1/1/2014,T
CR0004,O08.4,RENAL FAILURE FOLLOWING ABORTION AND ECTOPIC AND MOLAR PREGNANCY; OLIGURIA ACUTE RENAL FAILURE; OLIGURIA RENAL SHUTDOWN; OLIGURIA RENAL TUBULAR NECROSIS; OLIGURIA URAEMIA,1/1/2014,T
CR0005,J80,ADULT RESPIRATORY DISTRESS SYNDROME; ADULT HYALINE MEMBRANE DISEASE,1/1/2014,T
CR0006,T78.1,"OTHER ADVERSE FOOD REACTIONS, NOT ELSEWHERE CLASSIFIED",1/1/2014,T
CR0006,T78.3,ANGIONEUROTIC OEDEMA; GIANT URTICARIA; QUINKE'S OEDEMA,1/1/2014,T
CR0006,T78.4,"ALLERGY, UNSPECIFIED; ALLERGIC REACTION NOS; HYPERSENSITIVITY NOS; IDIOSYNCRACY NOS",1/1/2014,T
CR0006,T78.8,"OTHER ADVERSE EFFECTS, NOT ELSEWHERE CLASSIFIED",1/1/2014,T
CR0006,T78.9,"ADVERSE EFFECT, UNSPECIFIED",1/1/2014,T
CR0006,T88.7,UNSPECIFIED ADVERSE EFFECT OF DRUG OR MEDICAMENT; ADVERSE EFFECT OF CORRECT DRUG OR MEDICAMENT PROPERLY ADMINISTERED; ALLERGIC REACTIION TO CORRECT DRUG OR MEDICAMENT PROPERLY ADMINISTERED; HYPERSENSITIVITY TO CORRECT DRUG OR MEDICAMENT PROPERLY ADMINISTE,1/1/2014,T
CR0007,A06.4,AMOEBIC LIVER ABSCESS;  HEPATIC AMOEBIASIS,1/1/2014,T
CR0008,A06.8,AMOEBIC APPENDICITIS,1/1/2014,T
CR0008,A06.2,AMOEBIC NONDYSENTERIC COLITIS,1/1/2014,T
CR0008,A06.1,CHRONIC INTESTINAL AMOEBIASIS,1/1/2014,T
CR0008,A06.0,ACUTE AMOEBIC DYSENTERY; ACUTE AMOEBIASIS; INTESTINAL AMOEBIASIS NOS,1/1/2014,T
CR0008,A06.3,AMOEBOMA OF INTESTINE; AMOEBOMA NOS,1/1/2014,T
CR0008,A06.7,CUTANEOUS AMOEBIASIS,1/1/2014,T
CR0009,E85.8,OTHER AMYLOIDOSIS; LOCALIZED AMYLOIDOSIS,1/1/2014,T
CR0010,T88.6,ANAPHYLACTIC SHOCK DUE TO ADVERSE EFFECT OF CORRECT DRUG OR MEDICAMENT PROPERLY ADMINISTERED,1/1/2014,T
CR0010,T78.2,"ANAPHYLACTIC SHOCK, UNSPECIFIED; ALLERGIC SHOCK NOS; ANAPHYLACTIC REACTION NOS; ANAPHYLAXIS NOS",1/1/2014,T
CR0010,T78.0,ANAPHYLACTIC SHOCK DUE TO ADVERSE FOOD REACTION,1/1/2014,T
CR0011,D59.4,OTHER NONAUTOIMMUNE HAEMOLYTIC ANAEMIAS; MECHANICAL HAEMOLYTIC ANAEMIA; MICROANGIOPATHIC HAEMOLYTIC ANAEMIA; TOXIC HAEMOLYTIC ANAEMIA,1/1/2014,T
CR0011,D57.8,OTHER SICKLE-CELL DISORDERS,1/1/2014,T
CR0011,D59.1,"OTHER AUTOIMMUNE HAEMOLYTIC ANAEMIAS; AUTOIMMUNE HAEMOLYTIC DISEASE,  COLD TYPE; (AUTOIMMUNE HAEMOLYTIC DISEASE, WARM TYPE; CHRONIC COLD HAEMAGGLUTININ DISEASE; COLD AGGLUTININ DISEASE;  COLD AGGLUTININ HAEMOGLOBINURIA;  SECONDARY SYMPTOMATIC HAEMOLYTIC A",1/1/2014,T
CR0011,D59.0,DRUG-INDUCED AUTOIMMUNE HAEMOLYTIC ANAEMIA,1/1/2014,T
CR0011,D58.9,"HEREDITARY HAEMOLYTIC ANAEMIA, UNSPECIFIED; ACQUIRED HAEMOLYTIC ANAEMIA",1/1/2014,T
CR0011,D59.5,PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA [MARCHIAFAVA-MICHELI],1/1/2014,T
CR0011,D61.2,APLASTIC ANAEMIA DUE TO OTHER EXTERNAL AGENTS,1/1/2014,T
CR0011,D61.3,IDIOPATHIC APLASTIC ANAEMIA,1/1/2014,T
CR0011,D61.9,"APLASTIC ANAEMIA, UNSPECIFIED; HYPOPLASTIC ANAEMIA NOS; MEDULLARY HYPOPLASIA; PANMYELOPHTHISIS",1/1/2014,T
CR0011,D63.0*,ANAEMIA IN NEOPLASTIC DISEASE,1/1/2014,T
CR0011,D63.8*,ANAEMIA IN OTHER CHRONIC DISEASES CLASSIFIED ELSEWHERE,1/1/2014,T
CR0011,D64.0,HEREDITARY SIDEROBLASTIC ANAEMIA; SEX-LINKED HYPOCHROMIC SIDEROBLASTIC ANAEMIA,1/1/2014,T
CR0011,D64.1,SECONDARY SIDEROBLASTIC ANAEMIA DUE TO DISEASE,1/1/2014,T
CR0011,D64.2,SECONDARY SIDEROBLASTIC ANAEMIA DUE TO DRUGS AND TOXINS,1/1/2014,T
CR0011,D64.3,OTHER SIDEROBLASTIC ANAEMIAS; SIDEROBLASTIC ANAEMIA NOS;   PYRIDOXINE-RESPONSIVE NEC SIDEROBLASTIC ANAEMIA,1/1/2014,T
CR0011,D64.8,OTHER SPECIFIED ANAEMIAS; INFANTILE PSEUDOLEUKAEMIA; LEUKOERYTHROBLASTIC ANAEMIA,1/1/2014,T
CR0011,D64.9,"ANAEMIA, UNSPECIFIED",1/1/2014,T
CR0011,D55.1,"ANAEMIA DUE TO OTHER DISORDERS OF GLUTATHIONE METABOLISM; ANAEMIA DUE TO ENZYME DEFICIENCIES, EXCEPT G6PD, RELATED TO THE HEXOSE MONOPHOSPHATE [HMP] SHUNT PATHWAY;  ANAEMIA DUE TO HAEMOLYTIC NONSPHEROCYTIC HEREDITARY, TYPE I",1/1/2014,T
CR0011,D58.8,OTHER SPECIFIED HEREDITARY HAEMOLYTIC ANAEMIAS; STOMATOCYTOSIS,1/1/2014,T
CR0011,D61.8,OTHER SPECIFIED APLASTIC ANAEMIAS,1/1/2014,T
CR0011,D53.1,"OTHER MEGALOBLASTIC ANAEMIAS, NOT ELSEWHERE CLASSIFIED; MEGALOBLASTIC ANAEMIA NOS",1/1/2014,T
CR0011,D50.0,IRON DEFICIENCY ANAEMIA SECONDARY TO BLOOD LOSS (CHRONIC); POSTHAEMORRHAGIC ANAEMIA (CHRONIC),1/1/2014,T
CR0011,D50.1,SIDEROPENIC DYSPHAGIA; KELLY-PATERSON SYNDROME;  PLUMMER-VINSON SYNDROME,1/1/2014,T
CR0011,D59.9,"ACQUIRED HAEMOLYTIC ANAEMIA, UNSPECIFIED; CHRONIC IDIOPATHIC HAEMOLYTIC ANAEMIA",1/1/2014,T
CR0011,D59.8,OTHER ACQUIRED HAEMOLYTIC ANAEMIAS,1/1/2014,T
CR0011,D59.6,HAEMOGLOBINURIA DUE TO HAEMOLYSIS FROM OTHER EXTERNAL CAUSES; HAEMOGLOBINURIA FROM EXERTION;  HAEMOGLOBINURIA MARCH; HAEMOGLOBINURIA PAROXYSMAL COLD,1/1/2014,T
CR0011,D61.1,DRUG-INDUCED APLASTIC ANAEMIA,1/1/2014,T
CR0011,D59.2,DRUG-INDUCED NONAUTOIMMUNE HAEMOLYTIC ANAEMIA; DRUG-INDUCED ENZYME DEFICIENCY ANAEMIA,1/1/2014,T
CR0011,D61.0,CONSTITUTIONAL APLASTIC ANAEMIA;  CONGENITAL PURE RED CELL  APLASIA;  PURE RED CELL  APLASIA OF INFANTS;  PRIMARY PURE RED CELL  APLASIA; BLACKFAN-DIAMOND SYNDROME; FAMILIAL HYPOPLASTIC ANAEMIA; FANCONI'S ANAEMIA; PANCYTOPENIA WITH MALFORMATIONS,1/1/2014,T
CR0011,D60.1,TRANSIENT ACQUIRED PURE RED CELL APLASIA,1/1/2014,T
CR0011,D50.8,OTHER IRON DEFICIENCY ANAEMIAS,1/1/2014,T
CR0011,D50.9,"IRON DEFICIENCY ANAEMIA, UNSPECIFIED",1/1/2014,T
CR0011,D51.0,VITAMIN B12 DEFICIENCY ANAEMIA DUE TO INTRINSIC FACTOR DEFICIENCY;  ADDISON ANAEMIA; BIERMER  ANAEMIA; CONGENITALPERNICIOUS  ANAEMIA; CONGENITAL INTRINSIC FACTOR DEFICIENCY,1/1/2014,T
CR0011,D51.8,OTHER VITAMIN B12 DEFICIENCY ANAEMIAS,1/1/2014,T
CR0011,D51.9,"VITAMIN B12 DEFICIENCY ANAEMIA, UNSPECIFIED",1/1/2014,T
CR0011,D52.1,DRUG-INDUCED FOLATE DEFICIENCY ANAEMIA,1/1/2014,T
CR0011,D53.0,PROTEIN DEFICIENCY ANAEMIA; AMINO-ACID  DEFICIENCY ANAEMIA; OROTACIDURIC ANAEMIA,1/1/2014,T
CR0011,D53.2,SCORBUTIC ANAEMIA,1/1/2014,T
CR0011,D53.8,OTHER SPECIFIED NUTRITIONAL ANAEMIAS; ANAEMIA ASSOCIATED WITH DEFICIENCY OF COPPER;  ANAEMIA ASSOCIATED WITH DEFICIENCY OF MOLYBDENUM; ANAEMIA ASSOCIATED WITH DEFICIENCY OF  ZINC,1/1/2014,T
CR0011,D53.9,"NUTRITIONAL ANAEMIA, UNSPECIFIED; SIMPLE CHRONIC ANAEMIA",1/1/2014,T
CR0011,D57.1,SICKLE-CELL ANAEMIA WITHOUT CRISIS; SICKLE-CELL ANAEMIA NOS; SICKLE-CELL  DISEASE NOS ; SICKLE-CELL DISORDER NOS,1/1/2014,T
CR0011,D58.1,HEREDITARY ELLIPTOCYTOSIS; CONGENITAL ELLIPTOCYTOSIS; CONGENITAL OVALOCYTOSIS; HEREDITARY OVALOCYTOSIS,1/1/2014,T
CR0011,D58.0,HEREDITARY SPHEROCYTOSIS; ACHOLURIC (FAMILIAL) JAUNDICE; CONGENITAL (SPHEROCYTIC) HAEMOLYTIC ICTERUS; MINKOWSKI-CHAUFFARD SYNDROME,1/1/2014,T
CR0011,D52.9,"FOLATE DEFICIENCY ANAEMIA, UNSPECIFIED; FOLIC ACID DEFICIENCY ANAEMIA NOS",1/1/2014,T
CR0011,D57.3,SICKLE-CELL TRAIT; HB-S TRAIT ; HETEROZYGOUS HAEMOGLOBIN S,1/1/2014,T
CR0011,D55.0,ANAEMIA DUE TO GLUCOSE-6-PHOSPHATE DEHYDROGENASE [G6PD] DEFICIENCY; FAVISM; G6PD DEFICIENCY ANAEMIA,1/1/2014,T
CR0011,D57.0,SICKLE-CELL ANAEMIA WITH CRISIS; HB-SS DISEASE WITH CRISIS,1/1/2014,T
CR0011,D56.9,MEDITERRANEAN ANAEMIA;  MEDITERRANEAN ANAEMIA WITH OTHER HAEMOGLOBINOPATHY; THALASSAEMIA MINOR WITH OTHER HAEMOGLOBINOPATHY; THALASSAEMIA MIXED WITH OTHER HAEMOGLOBINOPATHY;,1/1/2014,T
CR0011,D55.9,"ANAEMIA DUE TO ENZYME DISORDER, UNSPECIFIED",1/1/2014,T
CR0011,D55.8,OTHER ANAEMIAS DUE TO ENZYME DISORDERS,1/1/2014,T
CR0011,D55.2,"ANAEMIA DUE TO DISORDERS OF GLYCOLYTIC ENZYMES;   HAEMOLYTIC NONSPHEROCYTIC HEREDITARY ANAEMIA, TYPE II;  HEXOKINASE DEFICIENCY ANAEMIA; PYRUVATE KINASE [PK] DEFICIENCY ANAEMIA; TRIOSE-PHOSPHATE ISOMERASE DEFICIENCY ANAEMIA",1/1/2014,T
CR0011,D58.2,OTHER HAEMOGLOBINOPATHIES; ABNORMAL HAEMOGLOBIN NOS; CONGENITAL HEINZ BODY ANAEMIA;  HB-C DISEASE;  HB-C DISEASE;  HB-D DISEASE;  HB-E DISEASE; HAEMOGLOBINOPATHY NOS;  UNSTABLE HAEMOGLOBIN HAEMOLYTIC DISEASE,1/1/2014,T
CR0011,D62,ACUTE POSTHAEMORRHAGIC ANAEMIA,1/1/2014,T
CR0012,M00.97,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS ANKLE AND FOOT",1/1/2014,T
CR0012,M00.98,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS OTHER SITES",1/1/2014,T
CR0012,M00.95,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS PELVIC REGION AND THIGH",1/1/2014,T
CR0012,M00.91,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS SHOULDER REGION",1/1/2014,T
CR0012,M00.82,ARTHRITIS AND POLYARTHRITIS DUE TO OTHER SPECIFIED BACTERIAL AGENTS UPPER ARM,1/1/2014,T
CR0012,M00.29,"OTHER STREPTOCOCCAL ARTHRITIS AND POLYARTHRITIS, SITE UNSPECIFIED",1/1/2014,T
CR0012,M00.19,"PNEUMOCOCCAL ARTHRITIS AND POLYARTHRITIS,  SITE UNSPECIFIED",1/1/2014,T
CR0012,M00.16,"PNEUMOCOCCAL ARTHRITIS AND POLYARTHRITIS, LOWER LEG",1/1/2014,T
CR0012,M08.29,JUVENILE ARTHRITIS WITH SYSTEMIC ONSET; STILL'S DISEASE NOS  SITE UNSPECIFIED,1/1/2014,T
CR0012,M02.39,"REITER'S DISEASE, SITE UNSPECIFIED",1/1/2014,T
CR0012,M00.93,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS FOREARM",1/1/2014,T
CR0012,M00.94,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS HAND",1/1/2014,T
CR0012,M00.90,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS MULTIPLE SITES",1/1/2014,T
CR0012,M06.19,"ADULT-ONSET STILL'S DISEASE, SITE UNSPECIFIED",1/1/2014,T
CR0012,M00.99,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS SITE UNSPECIFIED",1/1/2014,T
CR0012,M00.96,"PYOGENIC ARTHRITIS, UNSPECIFIED; INFECTIVE ARTHRITIS NOS LOWER LEG",1/1/2014,T
CR0013,M12.53,TRAUMATIC ARTHROPATHY FOREARM,1/1/2014,T
CR0013,M12.52,TRAUMATIC ARTHROPATHY UPPER ARM,1/1/2014,T
CR0013,M12.50,TRAUMATIC ARTHROPATHY MULTIPLE SITES,1/1/2014,T
CR0013,M12.39,PALINDROMIC RHEUMATISM SITE UNSPECIFIED,1/1/2014,T
CR0013,M12.26,VILLONODULAR SYNOVITIS (PIGMENTED) LOWER LEG,1/1/2014,T
CR0013,M12.58,TRAUMATIC ARTHROPATHY OTHER SITES,1/1/2014,T
CR0013,M11.90,"CRYSTAL ARTHROPATHY, UNSPECIFIED MULTIPLE SITES",1/1/2014,T
CR0013,M12.59,TRAUMATIC ARTHROPATHY SITE UNSPECIFIED,1/1/2014,T
CR0013,M08.99,"JUVENILE ARTHRITIS, UNSPECIFIED SITE UNSPECIFIED",1/1/2014,T
CR0013,M08.96,"JUVENILE ARTHRITIS, UNSPECIFIED LOWER LEG",1/1/2014,T
CR0013,M08.91,"JUVENILE ARTHRITIS, UNSPECIFIED SHOULDER REGION",1/1/2014,T
CR0013,M08.89,OTHER JUVENILE ARTHRITIS SITE UNSPECIFIED,1/1/2014,T
CR0013,M08.86,OTHER JUVENILE ARTHRITIS LOWER LEG,1/1/2014,T
CR0013,M08.19,JUVENILE ANKYLOSING SPONDYLITIS SITE UNSPECIFIED,1/1/2014,T
CR0013,M08.09,JUVENILE RHEUMATOID ARTHRITIS; JUVENILE RHEUMATOID ARTHRITIS WITH OR WITHOUT RHEUMATOID FACTOR  SITE UNSPECIFIED,1/1/2014,T
CR0013,M08.07,JUVENILE RHEUMATOID ARTHRITIS; JUVENILE RHEUMATOID ARTHRITIS WITH OR WITHOUT RHEUMATOID FACTOR  ANKLE AND FOOT,1/1/2014,T
CR0013,M08.06,JUVENILE RHEUMATOID ARTHRITIS; JUVENILE RHEUMATOID ARTHRITIS WITH OR WITHOUT RHEUMATOID FACTOR  LOWER LEG,1/1/2014,T
CR0013,M05.99,"SEROPOSITIVE RHEUMATOID ARTHRITIS, UNSPECIFIED, SITE UNSPECIFIED",1/1/2014,T
CR0013,M11.99,"CRYSTAL ARTHROPATHY, UNSPECIFIED SITE UNSPECIFIED",1/1/2014,T
CR0013,M13.81,OTHER SPECIFIED ARTHRITIS; ALLERGIC ARTHRITIS  SHOULDER REGION,1/1/2014,T
CR0013,M13.93,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS FOREARM",1/1/2014,T
CR0013,M13.92,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS UPPER ARM",1/1/2014,T
CR0013,M02.99,"REACTIVE ARTHROPATHY, UNSPECIFIED, SITE UNSPECIFIED",1/1/2014,T
CR0013,M06.89,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, SITE UNSPECIFIED",1/1/2014,T
CR0013,M06.87,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, ANKLE AND FOOT",1/1/2014,T
CR0013,M06.81,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, SHOULDER REGION",1/1/2014,T
CR0013,M10.02,URATE TOPHUS OF HEART UPPER ARM,1/1/2014,T
CR0013,M06.45,"INFLAMMATORY POLYARTHROPATHY, PELVIC REGION AND THIGH",1/1/2014,T
CR0013,M06.36,"RHEUMATOID NODULE, LOWER LEG",1/1/2014,T
CR0013,M13.96,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS LOWER LEG",1/1/2014,T
CR0013,M06.09,"SERONEGATIVE RHEUMATOID ARTHRITIS, SITE UNSPECIFIED",1/1/2014,T
CR0013,M13.97,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS ANKLE AND FOOT",1/1/2014,T
CR0013,M13.99,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS SITE UNSPECIFIED",1/1/2014,T
CR0013,M10.98,"GOUT, UNSPECIFIED OTHER SITES",1/1/2014,T
CR0013,M06.86,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, LOWER LEG",1/1/2014,T
CR0013,M10.39,GOUT DUE TO IMPAIRMENT OF RENAL FUNCTION SITE UNSPECIFIED,1/1/2014,T
CR0013,M13.95,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS PELVIC REGION AND THIGH",1/1/2014,T
CR0013,M13.98,"ARTHRITIS, UNSPECIFIED; ARTHROPATHY NOS OTHER SITES",1/1/2014,T
CR0013,M10.99,"GOUT, UNSPECIFIED SITE UNSPECIFIED",1/1/2014,T
CR0013,M10.97,"GOUT, UNSPECIFIED ANKLE AND FOOT",1/1/2014,T
CR0013,M10.94,"GOUT, UNSPECIFIED HAND",1/1/2014,T
CR0013,M10.93,"GOUT, UNSPECIFIED FOREARM",1/1/2014,T
CR0013,M10.92,"GOUT, UNSPECIFIED UPPER ARM",1/1/2014,T
CR0013,M10.91,"GOUT, UNSPECIFIED SHOULDER REGION",1/1/2014,T
CR0013,M10.90,"GOUT, UNSPECIFIED MULTIPLE SITES",1/1/2014,T
CR0013,M10.96,"GOUT, UNSPECIFIED LOWER LEG",1/1/2014,T
CR0013,M10.40,OTHER SECONDARY GOUT MULTIPLE SITES,1/1/2014,T
CR0013,M10.03,IDIOPATHIC GOUT; GOUTY BURSITIS; PRIMARY GOUT  FOREARM,1/1/2014,T
CR0013,M10.36,GOUT DUE TO IMPAIRMENT OF RENAL FUNCTION LOWER LEG,1/1/2014,T
