ICD/RVS Codes,Description
24650,Closed treatment of radial head or neck fracture
24665,"Open treatment of radial head or neck fracture, w/ or w/o internal fixation or radial head excision;"
24666,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); w/ radial head prosthetic replacement
24670,"Closed treatment of ulnar fracture, proximal end (olecranon process)"
24685,"Open treatment of ulnar fracture proximal end (olecranon process), w/ or w/o internal or external fixation"
24900,"Amputation, arm through humerus; w/ primary closure"
24920,"Amputation, arm through humerus; open, circular (guillotine)"
24925,"Amputation, arm through humerus; secondary closure or scar revision"
24930,"Amputation, arm through humerus; re-amputation"
24931,"Amputation, arm through humerus; w/ implant"
25500,Closed treatment of radial shaft fracture
25515,"Open treatment of radial shaft fracture, w/ or w/o internal or external fixation"
25520,"Closed treatment of radial shaft fracture, w/ dislocation of distal radio-ulnar joint (Galeazzi fracture/dislocation)"
25525,"Open treatment of radial shaft fracture, w/ internal and/or external fixation and closed treatment of dislocation of distal radio-ulnar joint (Galeazzi fracture/dislocation), w/ or w/o percutaneous skeletal fixation"
25526,"Open treatment of radial shaft fracture, w/ internal and/or external fixation and open treatment, w/ or w/o internal or external fixation of distal radio-ulnar joint (Galleazi fracture/dislocation), includes repair of triangular cartilage"
25530,Closed treatment of ulnar shaft fracture
25545,"Open treatment of ulnar shaft fracture, w/ or w/o internal or external fixation"
25560,Closed treatment of radial and ulnar shaft fractures
25574,"Open treatment of radial and ulnar shaft fractures, w/ internal or external fixation; of radius or ulna"
25575,"Open treatment of radial and ulnar shaft fractures, w/ internal or external fixation; of radius and ulna"
25600,"Closed treatment of distal radial fracture (e.g., Colles or Smith type) or epiphyseal separation, w/ or w/o fracture of ulnar styloid"
25620,"Open treatment of distal radial fracture (e.g., Colles or Smith type) or epiphyseal separation, w/ or w/o fracture of ulnar styloid, w/ or w/o internal or external fixation"
25622,Closed treatment of carpal scaphoid (navicular) fracture
25628,"Open treatment of carpal scaphoid (navicular) fracture, w/ or w/o internal or external fixation"
25630,Closed treatment of carpal bone fracture (excluding carpal scaphoid (navicular))
25645,"Open treatment of carpal bone fracture (excluding carpal scaphoid (navicular)), each bone"
25650,Closed treatment of ulnar styloid fracture
25660,"Closed treatment of radiocarpal or intercarpal dislocation, one or more bones"
25670,"Open treatment of radiocarpal or intercarpal dislocation, one or more bones"
25675,Closed treatment of distal radioulnar dislocation
25676,"Open treatment of distal radioulnar dislocation, acute or chronic"
25680,Closed treatment of trans-scaphoperilunar type of fracture dislocation
25685,Open treatment of trans-scaphoperilunar type of fracture dislocation
25690,Closed treatment of lunate dislocation
25695,Open treatment of lunate dislocation
25900,"Amputation, forearm, through, radius and ulna;"
25905,"Amputation, forearm, through, open, circular (guillotine)"
25907,"Amputation, forearm, through, secondary closure or scar revision"
25909,"Amputation, forearm, through, re-amputation"
25920,Disarticulation through wrist;
25922,Disarticulation through wrist; secondary closure or scar revision
25924,Disarticulation through wrist; re-amputation
25927,Transmetacarpal amputation;
25929,Transmetacarpal amputation; secondary closure or scar revision
25931,Transmetacarpal amputation; re-amputation
26600,"Closed treatment of metacarpal fracture, single"
26607,"Closed treatment of metacarpal fracture, w/ internal or external fixation"
26615,"Open treatment of metacarpal fracture, single, w/ or w/o internal or external fixation, each bone"
26641,"Closed treatment of carpometacarpal dislocation, thumb"
26645,"Closed tratment of carpometacarpal fracture dislocation, thumb (Bennett fracture)"
26665,"Open treatment of carpometacarpal fracture dislocation, thumb (Bennett fracture), w/ or w/o internal or external fixation"
26670,"Closed treatment of carpometacarpal dislocation, other than thumb (Bennett fracture); single"
26685,"Open treatment of carpometacarpal dislocation, other than thumb (Bennett fracture); single, w/ or w/o Open treatment of carpometacarpal dislocation, other than thumb (Bennett fracture); single, internal or external fixation"
26686,"Open treatment of carpometacarpal dislocation, other than thumb (Bennett fracture); single, complex, multiple or delayed reduction"
26700,"Closed treatment of metacarpophalangeal dislocation, single"
26715,"Open treatment of metacarpophalangeal dislocation, single, w/ or w/o internal or external fixation"
26720,"Closed treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb"
26735,"Open treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, w/ or w/o internal or external fixation, each"
26740,"Closed treatment of articular fracture, involving metacarpophalangeal or interphalangeal joint"
26746,"Open treatment of articular fracture, involving metacarpophalangeal or interphalangeal joint, w/ or w/o internal or external fixation, each"
26750,"Closed treatment of distal phalangeal fracture, finger or thumb"
26765,"Open treatment of distal phalangeal fracture, finger or thumb, w/ or w/o internal or external fixation, each"
26770,"Closed treatment of interphalangeal joint dislocation, single"
26785,"Open treatment of interphalangeal joint dislocation, w/ or w/o internal or external fixation, single"
26910,"Amputation, metacarpal, w/ finger or thumb (ray amputation), single, w/ or w/o interosseous transfer"
26951,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; w/ direct closure"
26952,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; w/ local advancement flaps (V-Y, hood)"
27175,"Treatment of slipped femoral epiphysis; by traction, w/o reduction"
27176,"Treatment of slipped femoral epiphysis; by single or multiple pinning, in situ"
27177,Open treatment of slipped femoral epiphysis; single of multiple pinning or bone graft (includes obtaining graft)
27178,Open treatment of slipped femoral epiphysis; closed manipulation w/ single or multiple pinning

